CBG10375.1	708,987	795,1032
CBG29824.1	3940620	3940660
CBG29825.1	4057503,4057652,4057835	4057545,4057733,4057879
CBG29826.1	4516118	4516161
CBG29827.1	4784055	4784180
CBG29828.1	4785158	4785226
CBG29829.1	4964977,4965321,4965496,4965592	4965022,4965364,4965545,4965593
CBG29830.1	5204467,5204853	5204639,5204896
CBG29831.1	5273783,5274250	5273880,5274403
CBG29832.1	5515260	5515375
CBG29833.1	5582448,5583420	5582990,5583460
CBG29834.1	5602335	5602414
CBG29835.1	5716432,5716539	5716482,5716584
CBG29836.1	6015621,6015764	6015663,6015809
CBG29837.1	6114779,6115733,6115849,6115990	6115251,6115774,6115895,6116259
CBG29838.1	6343336	6343381
CBG29839.1	6350634	6350682
CBG29840.1	6369123	6369630
CBG29841.1	6587073	6587120
CBG29842.1	6707165,6707367	6707298,6707426
CBG29843.1	6751077	6751120
CBG29844.1	7082623	7082770
CBG29845.1	7318456	7318497
CBG29846.1	7444805	7444849
CBG29847.1	7448226	7448273
CBG29848.1	7583459	7583787
CBG29849.1	7880723	7880765
CBG29850.1	8169644,8169780	8169687,8169829
CBG29851.1	8255542,8255816,8256003	8255588,8255921,8256054
CBG29852.1	8485231	8485279
CBG29853.1	8486905	8486953
CBG29854.1	8520864	8520916
CBG29855.1	8681228,8681632	8681535,8681679
CBG29856.1	8848900,8849122	8848985,8849163
CBG29857.1	9047429	9047475
CBG29858.1	9274609	9275941
CBG29859.1	9379180,9379714,9379842,9379963,9380106,9380231	9379642,9379762,9379884,9380011,9380148,9380275
CBG29860.1	9570408	9570455
CBG29861.1	9611200	9611245
CBG29862.1	9803974	9804135
CBG29863.1	9808451	9808495
CBG29864.1	9905566,9905742	9905612,9905788
CBG29865.1	9945796	9945840
CBG29866.1	9946403	9946449
CBG29867.1	9961640	9961686
CBG29868.1	10110997	10111040
CBG29869.1	10181231,10181345,10181588	10181279,10181480,10181825
CBG29870.1	10207911	10207956
CBG29871.1	10295681,10296060,10296261,10296496	10295722,10296111,10296306,10296825
CBG29872.1	10409604	10409650
CBG29873.1	10658595	10658639
CBG29874.1	10685816,10685947,10686164,10686333	10685858,10686052,10686206,10687095
CBG29875.1	10785659,10785834,10785953	10785700,10785879,10785954
CBG29876.1	10839917,10839934	10839918,10840152
CBG29877.1	10849377	10849425
CBG29878.1	10882132,10882311	10882177,10882397
CBG29879.1	10983522,10984965	10984846,10985009
CBG29880.1	11051251	11051406
CBG29881.1	11406740,11406907,11406957	11406799,11406949,11407183
CBG29881.2	11406740,11406907	11406799,11406949
CBG29882.1	11634206	11635139
CBG29883.1	11635698	11636021
CBG29884.1	11883697	11883756
CBG29885.1	11941692,11941921,11941985	11941741,11941963,11942026
CBG29886.1	12023033,12023260,12023378,12023520	12023048,12023308,12023425,12024169
CBG29887.1	12060604	12061075
CBG29888.1	12157568,12157818,12158304,12158407	12157655,12158248,12158305,12160008
CBG29889.1	12421344,12422833	12422311,12423280
CBG29889.2	12422833	12423280
CBG29890.1	12649020	12650265
CBG29891.1	12817744	12819629
CBG29892.1	12876212	12876810
CBG29893.1	12881507	12881878
CBG29894.1	12898604	12899235
CBG29895.1	12951267,12951675	12951604,12951864
CBG29896.1	13054497,13055439,13055607	13055264,13055530,13055681
CBG29897.1	13111304,13112625,13112914	13112184,13112817,13112915
CBG29898.1	13114854,13116331	13115499,13116501
CBG29898.2	13116331	13116501
CBG29899.1	13168915,13168992,13169214,13169369,13169471	13168964,13169101,13169325,13169370,13169511
CBG29900.1	13282883	13283424
CBG29901.1	13580960	13583054
CBG29902.1	13666325	13666788
CBG29903.1	14974038,14974202	14974079,14974251
CBG29904.1	15006468,15006649	15006517,15006650
CBG29905.1	15086928,15087080	15086976,15087126
CBG29906.1	15271449,15271630	15271498,15271716
CBG29907.1	15332604	15332647
CBG29908.1	15342979,15343118	15343035,15343559
CBG29908.2	15342733,15342979,15343118	15342862,15343035,15343559
CBG29909.1	12499464,12499719,12500177	12499660,12500087,12500228
CBG29910.1	7593698,7593852,7594730	7593743,7593900,7595165
CBG29911.1	6245900,6246566	6246334,6246611
CBG29912.1	14044941,14045216,14049390,14049650,14049762	14045047,14049200,14049391,14049692,14049808
CBG29913.1	9378270,9378420	9378315,9378464
CBG29914.1	12392943,12394817	12394711,12395455
CBG29915.1	8565956	8566006
CBG29916.1	14098184,14098631,14098840	14098541,14098673,14099551
CBG29917.1	11745701,11745832,11746556,11747501,11747726,11748114	11745742,11745879,11747414,11747554,11747843,11750556
CBG29918.1	7933489,7933686,7933861	7933531,7933728,7933908
CBG29919.1	9408731,9408897,9409041,9409295	9408775,9408943,9409086,9409339
CBG29920.1	9410058,9410327,9410467,9410625,9410789,9411060	9410102,9410371,9410509,9410682,9410830,9411103
CBG29921.1	13800751	13800876
CBG29922.1	990726,991079	990772,991125
CBG29923.1	8506247,8507047	8506503,8507180
CBG29924.1	6699860	6699908
CBG29925.1	6708688,6708816	6708747,6708949
CBG29926.1	6709487	6709531
CBG29927.1	10864801,10865025,10867594,10867885	10864849,10867272,10867637,10868332
CBG29928.1	13028137	13028762
CBG29929.1	3553765,3554104,3554877	3553813,3554155,3554924
CBG29930.1	2554538,2554677,2554799,2555386	2554583,2554722,2555185,2555568
CBG29931.1	8328814,8329010,8329108,8329376,8329500	8328865,8329057,8329152,8329422,8329548
CBG29932.1	11425989,11426352,11427278,11428015	11426099,11426623,11427928,11428063
CBG29933a.1	12916427,12917084	12917028,12917263
CBG29933b.1	12916427	12917263
CBG29934.1	12628312,12629537,12629771,12630183,12630425,12630676	12629326,12629608,12630042,12630231,12630582,12630731
CBG29935.1	6940739,6940864,6941232	6940786,6941165,6941379
CBG29936.1	11834139	11834193
CBG29937a.1	8510132,8510552,8510739,8510908,8511492	8510179,8510598,8510783,8510953,8544136
CBG29937b.1	8510739,8510908,8511492	8510783,8510953,8544136
CBG29938.1	5685075,5685334	5685128,5685378
CBG29939.1	2407004	2407759
CBG29940.1	417234	417376
CBG29941.1	7400183,7400348,7400597,7400739,7400868	7400236,7400395,7400641,7400792,7400918
CBG29942.1	3952929	3952984
CBG29943.1	10739388,10739732,10740029	10739559,10739776,10740566
CBG29944.1	12120883,12122162	12121844,12123918
CBG29945.1	10271307,10271624,10271929	10271402,10271664,10271976
CBG29946.1	9388951,9389068,9389252,9389395,9389555,9389681,9389846	9388995,9389106,9389294,9389442,9389600,9389724,9389890
CBG29947.1	4705916,4706309	4705983,4706360
CBG29948.1	12956040,12956122,12956203,12956309,12956428,12957715	12956088,12956164,12956245,12956361,12957650,12957810
CBG29948.2	12956040,12956122,12956203,12956309,12956428	12956088,12956164,12956245,12956361,12957650
CBG29949.1	4818090,4818193,4818623	4818137,4818421,4818675
CBG29950.1	5778764	5778810
CBG29951.1	9220828	9220870
CBG29952.1	4003361,4003548,4003745,4004009,4004149,4004341,4004720,4004971,4005591,4005755,4006590	4003417,4003620,4003789,4004052,4004199,4004386,4004768,4005015,4005631,4005797,4006637
CBG29953.1	5730345	5730427
CBG29954.1	11499256	11499301
CBG29956.1	7660258	7660475
CBG29957.1	7662421	7662468
CBG29958.1	9260165,9260464,9260627,9260944,9261697,9261860	9260236,9260507,9260744,9260989,9261739,9261901
CBG29959.1	2177049,2177236,2177340,2177491,2179131,2179435,2179762	2177169,2177314,2177409,2179044,2179171,2179680,2180325
CBG29960.1	2180895,2181031,2181665,2181804,2182460,2182678,2182921	2180964,2181639,2181719,2182373,2182501,2182839,2182992
CBG29961.1	14482617,14484651,14485536	14484562,14485427,14485808
CBG29962.1	10397324,10397463	10397372,10397540
CBG29963.1	4349777	4349933
CBG29964.1	10293327,10293578,10293704	10293372,10293622,10293750
CBG29965.1	2420962	2423353
CBG29966.1	2416435,2416883,2417879,2418243,2419558,2419998	2416542,2417739,2418043,2419235,2419906,2420457
CBG29967.1	3205927,3206100	3205981,3206562
CBG29968.1	9195529,9195725,9195925,9196081,9196359,9196466	9195576,9195772,9195971,9196125,9196401,9196509
CBG29969.1	15053002,15059544,15060101,15060278	15059433,15059587,15060146,15060322
CBG29970.1	6552660,6552878,6552995	6552709,6552921,6553039
CBG29971.1	1668642,1668758	1668687,1668807
CBG29972.1	13351631	13351914
CBG29973.1	4743436,4743562,4743699,4744831,4745477	4743480,4743605,4744518,4744881,4745701
CBG29974.1	5033313,5034631,5034918,5035021,5035180,5035264,5035480,5036184,5036320,5036596	5034407,5034680,5034966,5035065,5035225,5035310,5035723,5036231,5036364,5036642
CBG29974.2	5033313,5034631,5034796,5034918,5035021,5035180,5035264,5035480,5036184,5036320,5036596	5034407,5034680,5034834,5034966,5035065,5035225,5035310,5035723,5036231,5036364,5036642
CBG29975.1	3894065,3894272,3894637	3894107,3894315,3894683
CBG29976.1	2684092,2684390	2684320,2684499
CBG29977.1	7686752	7686799
CBG29978.1	7869900,7870047	7869946,7870092
CBG29979.1	6315736,6315930,6316119	6315781,6315990,6316319
CBG29980.1	10369737,10370171,10370631,10370769	10369781,10370224,10370680,10370820
CBG29981.1	12590373,12590528,12590797	12590419,12590597,12590855
CBG29982.1	7301128,7301505	7301342,7301554
CBG29983.1	13279181,13279856	13279576,13279901
CBG29984a.1	6479536,6479760,6480022,6480568,6480696	6479582,6479862,6480138,6480614,6480747
CBG29984b.1	6479536,6479760,6480568,6480696	6479582,6480138,6480614,6480747
CBG29985.1	5408302,5411358	5411274,5411448
CBG29986.1	5111480,5111635,5111866,5112029,5112272,5112395,5112563,5113256	5111525,5111675,5111908,5112070,5112316,5112442,5112817,5113307
CBG29987.1	8494013,8494381,8494874,8495052	8494059,8494430,8494923,8495096
CBG29988.1	10842724,10843037	10842771,10843082
CBG29989.1	10845064	10845393
CBG30838.1	9551968	9552118
CBG30870.1	5070370,5070713,5070847	5070420,5070771,5070894
CBG30882.1	15258234	15258585
CBG30889.1	10773128	10773173
CBG30892.1	13463841,13466255	13465513,13467638
CBG30924.1	10191743	10192552
CBG30934.1	9774177,9774313,9774419,9774528,9774704,9774933,9775100,9775172	9774219,9774357,9774467,9774570,9774746,9774935,9775143,9775174
CBG30936.1	14355478,14355672,14355933,14356214	14355521,14355716,14356011,14356482
CBG30937.1	14440345,14440535,14441130,14442210,14443536,14443646,14444599,14445564	14440390,14440856,14442026,14443463,14443537,14444385,14445452,14445625
CBG30956.1	6072511,6072619,6072982,6073172,6073948,6074347,6076265,6076631,6077109,6077385,6077579,6078019,6078774	6072559,6072734,6073075,6073713,6074117,6074393,6076315,6076681,6077151,6077386,6077619,6078064,6078811
CBG30964.1	3568398,3568811,3568904,3569018,3569174,3569565	3568448,3568855,3568905,3569063,3569222,3569613
CBG30978.1	9828070,9828402	9828278,9828456
CBG30979.1	9830238	9830283
CBG30994.1	7374108	7374164
CBG30998.1	12396609	12396662
CBG31010.1	7947445,7947917	7947490,7947961
CBG31012.1	14130835	14130910
CBG31017.1	13053506	13053548
CBG31018.1	13052689	13052732
CBG31098.1	8240638	8240681
CBG31100.1	14284847,14284941	14284895,14285154
CBG31125.1	13171083,13171196,13171451,13171916,13172867,13173012	13171124,13171248,13171521,13172777,13172908,13173059
CBG31130.1	9385066,9385192	9385109,9385325
CBG31131.1	4116637,4116780	4116682,4116826
CBG31151.1	1546762,1547897	1547396,1547948
CBG31159.1	15373427	15373764
CBG31175.1	8292229,8292425	8292272,8292471
CBG31181.1	8292828,8293006,8293130	8292873,8293047,8293173
CBG31235.1	3084695,3086760,3087096	3086652,3086917,3087404
CBG31237.1	2790906,2791905	2791538,2792442
CBG31239.1	2112610	2113687
CBG31293.1	12372829,12374249,12374393,12374519,12374625,12374785	12374214,12374291,12374439,12374561,12374676,12374864
CBG31294.1	11006818	11007053
CBG31306.1	1612407	1613091
CBG31364.1	4525990,4526488,4526884,4527225,4527924,4528992	4526322,4526538,4527108,4527812,4528273,4529041
CBG31365.1	4308586,4308696,4308878,4309239	4308635,4308697,4308965,4309283
CBG31366.1	4115777,4115954	4115832,4115997
CBG31419.1	14123888,14124630,14124940,14125542,14125839,14126464,14133767,14134607,14135535,14136648,14136866,14138602,14140007,14140934,14141921,14142165,14143388,14143732,14144046,14145134,14145290,14145606,14146725	14124227,14124805,14125393,14125679,14126303,14133574,14134365,14135181,14136546,14136649,14138315,14139755,14140710,14141432,14142024,14143228,14143636,14143901,14144627,14145204,14145447,14146577,14146990
CBG31446.1	7842229,7842400,7842607,7842753,7842928,7843032,7844058,7844243,7844547	7842277,7842485,7842652,7842797,7842968,7843472,7844106,7844288,7844591
CBG31447.1	9075602,9075847,9076029,9076303	9075658,9075894,9076079,9076348
CBG31465.1	11466612,11467429,11467615,11468026	11467273,11467472,11467664,11468488
CBG31466.1	11282010	11282065
CBG31491.1	7259677,7260279,7260445	7259865,7260322,7260495
CBG31507.1	13150352,13151194,13151398	13151042,13151245,13151646
CBG00505.1	3989961,3990565	3990006,3990612
CBG00511a.1	4000490,4000759,4001959,4002877,4003529,4004105,4004600,4005037,4006209,4006545,4006920,4007383,4008404	4000685,4001704,4002777,4003058,4003769,4004182,4004936,4005852,4006404,4006732,4007164,4008217,4009063
CBG00511b.1	4000490,4000759,4001959,4002877,4003529,4004105,4004600,4005037,4006209,4006539,4006920,4007383,4008404	4000685,4001704,4002777,4003058,4003769,4004182,4004936,4005852,4006404,4006732,4007164,4008217,4009063
CBG00512.1	4009789,4010408,4011715,4012560,4012686,4015233,4016455,4016754	4010016,4010994,4012470,4012609,4014793,4016350,4016625,4016903
CBG00512.2	4010408,4011715,4012560,4012686,4015233,4016455,4016754	4010994,4012470,4012609,4014793,4016350,4016625,4016903
CBG00513.1	4017713,4017921,4018091,4020414,4020745,4022092,4022483	4017763,4017967,4020377,4020414,4021752,4022321,4022632
CBG00514.1	4022894,4023137,4023324	4022940,4023193,4023368
CBG00515.1	4026472,4027346,4027859,4029720,4037299,4037694,4038300,4038968,4040764,4041576,4042006	4027087,4027393,4028361,4036475,4037342,4038052,4038341,4039559,4041174,4041673,4042060
CBG00516.1	4045856,4046947,4047591	4046753,4047457,4049727
CBG00517.1	4047343,4049085	4048832,4049147
CBG00518a.1	4055428,4055906,4056637	4055845,4055951,4057314
CBG00518b.1	4055428,4055906	4055845,4055951
CBG00519.1	4060798	4060835
CBG00522.1	4073912,4074489,4075193	4074292,4075042,4075915
CBG00524.1	4078933,4079339,4079648,4080062,4080248,4080471,4081000,4081292,4081594,4081956	4079211,4079389,4079692,4080102,4080288,4080905,4081042,4081338,4081640,4084251
CBG00525.1	4085699,4086038	4085752,4086417
CBG00526.1	4088118	4088354
CBG00527.1	4089321	4089427
CBG00529.1	4093650,4094500,4095070,4096579,4096779,4096905,4097717,4098382,4099351,4100204	4094410,4094972,4096435,4096638,4096825,4097550,4098135,4099094,4099892,4100284
CBG00530.1	4101611,4101823,4102110,4102761,4103603,4104228	4101758,4101966,4102556,4103510,4104080,4104870
CBG00531.1	4107919,4108682,4108820	4108146,4108723,4108866
CBG00532.1	4109884,4110183,4110954	4110071,4110854,4112934
CBG00533a.1	4117450,4117728	4117594,4117777
CBG00533b.1	4117450,4117728	4117574,4117777
CBG00534.1	4118980,4119314,4121559,4121979	4119027,4121122,4121604,4122027
CBG00535.1	4127180,4128137,4128395,4128554,4128895,4129422,4130072,4130358,4130801	4128027,4128269,4128437,4128753,4129170,4129971,4130240,4130579,4131483
CBG00535.2	4126939,4127180,4128137,4128395,4128554,4128895,4129422,4130072,4130358,4130801	4126989,4128027,4128269,4128437,4128753,4129170,4129971,4130240,4130579,4131483
CBG00536.1	4132105,4132568,4132707,4132921,4133268,4133730,4134322	4132427,4132620,4132749,4132967,4133633,4134147,4134533
CBG00537.1	4144481,4145055,4145473,4145901,4148860,4149038	4144966,4145330,4145627,4148621,4148950,4149091
CBG00538.1	4142868	4142910
CBG00540.1	4147150	4147192
CBG00542.1	4159378,4159484	4159423,4159573
CBG00543.1	4166109,4166349,4166506,4166720,4167890	4166279,4166394,4166551,4167647,4167938
CBG00544a.1	4169933,4170217	4169976,4171532
CBG00544b.1	4170217	4171532
CBG00545.1	4172170,4172677	4172505,4173689
CBG00546.1	4175018,4175391,4176170,4177735,4179023,4179304,4179448	4175292,4175830,4177050,4178504,4179070,4179351,4179490
CBG00547a.1	4180035,4180342	4180184,4180537
CBG00547b.1	4180035,4180339,4180510	4180184,4180506,4180537
CBG00548.1	4180967,4181149,4181371,4181719,4181890,4182541,4183020,4183820,4184780	4181039,4181204,4181421,4181766,4182083,4182590,4183535,4184625,4185091
CBG00548.2	4180967,4181149,4181371,4181719,4181890,4182541	4181039,4181204,4181421,4181766,4182083,4182590
CBG00549.1	4183020,4183820,4184780	4183535,4184625,4185091
CBG00550.1	4187365,4189083,4190018,4190243,4190634,4190788,4191056,4191236,4191349	4188952,4189132,4190072,4190292,4190679,4190832,4191101,4191276,4193455
CBG00551.1	4194198,4194530,4196311	4194268,4195708,4196351
CBG00555.1	4205612	4207068
CBG00556.1	4210470,4210722,4212517,4214091	4210516,4211868,4213350,4215487
CBG00557.1	4214091	4215487
CBG00558.1	4217045,4218246,4218501,4219445,4220490,4220888,4221971,4222069	4217550,4218292,4219102,4220374,4220536,4221711,4222016,4222112
CBG00559.1	4222770,4223232,4223545,4224082,4224322,4225456,4226626	4223115,4223320,4223911,4224126,4225302,4226437,4227274
CBG00560.1	4227707,4228683,4229353	4228387,4228725,4229398
CBG00561.1	4229940,4230326	4229986,4230372
CBG00562.1	4231661	4231921
CBG00564.1	4234076,4234345,4234521,4234921,4236189,4237978	4234145,4234393,4234571,4235821,4237887,4238093
CBG00565.1	4239208,4239500,4240080	4239256,4239836,4240148
CBG00567.1	4243403,4244412	4244258,4244583
CBG00571a.1	4260016,4268649,4269505,4270086	4268481,4269360,4269807,4270141
CBG00571b.1	4260016,4268649,4269505,4270086	4268481,4269360,4269807,4270135
CBG00572.1	4271825,4272036,4272305	4271878,4272077,4272764
CBG00573a.1	4273075,4273328,4273928,4274099,4274582	4273141,4273847,4273929,4274210,4274816
CBG00573b.1	4273075,4273328,4273928,4274099,4274582	4273132,4273847,4273929,4274210,4274816
CBG00574a.1	4275564,4276604,4276772,4276916,4277138,4277905,4278501,4278750,4279062,4280042,4280377,4280732,4281504	4276383,4276657,4276816,4277090,4277185,4278418,4278545,4278796,4279802,4280271,4280651,4281428,4282284
CBG00574b.1	4275564,4276604,4276772,4276916,4277138,4277905,4278501,4278750,4279062,4280042,4280204,4280377,4280732,4281504	4276383,4276657,4276816,4277090,4277185,4278418,4278545,4278796,4279802,4280104,4280271,4280651,4281428,4282284
CBG00576.1	4288731,4289546,4290306,4290600,4291418,4291541,4291732	4288778,4289596,4290414,4290803,4291468,4291542,4291804
CBG00578.1	4299134,4301310,4301494,4301782,4301906,4302045,4302205,4302410	4300481,4301352,4301541,4301833,4301952,4302102,4302377,4302456
CBG00579a.1	4303875,4304052,4304550	4303922,4304438,4305100
CBG00579b.1	4303875,4304052,4304550	4303922,4304438,4305124
CBG00580.1	4307294	4307722
CBG00614.1	3959412,3959580,3959896,3961021,3961214,3961379	3959468,3959800,3960855,3961097,3961263,3961512
CBG00615.1	3934673,3935042,3935369,3935932,3936019	3934722,3935196,3935693,3935933,3936070
CBG00616.1	3931402,3931682	3931469,3931762
CBG00617.1	3929153,3930033	3929883,3930873
CBG00618.1	3925941,3926386,3926633,3927742	3926148,3926432,3927220,3928605
CBG00619.1	3922984,3923957,3924149,3924697	3923773,3924017,3924385,3924933
CBG00620.1	3914927,3915920,3917451,3917640,3919155	3914987,3915965,3917546,3917720,3919206
CBG00621.1	3912953,3914046,3914197	3913007,3914140,3914256
CBG00622.1	3910791	3911716
CBG00623.1	3907933,3908261,3909064,3909338	3907981,3908547,3909113,3909868
CBG00624.1	3906986,3907361,3907503	3907175,3907410,3907558
CBG00625.1	3904878	3905481
CBG00626.1	3897492	3898048
CBG00627.1	3891888,3892552,3892995	3891938,3892768,3893036
CBG00629.1	3888360	3888876
CBG00630.1	3885494,3886298	3885550,3886661
CBG00634.1	3876051,3876232	3876100,3876276
CBG00635.1	3874562,3874667,3874793,3875221	3874613,3874712,3874840,3875274
CBG00637.1	3868277,3869435,3871944	3869253,3871653,3871987
CBG00638.1	3861819,3862189,3862662,3862872,3863010,3863272,3864536,3864674,3864901	3861945,3862600,3862710,3862916,3863052,3864442,3864583,3864716,3864946
CBG00639.1	3860903,3861981	3861896,3862034
CBG00640.1	3856915,3857114,3857725,3857925,3858635	3856963,3857158,3857769,3858480,3858677
CBG00642.1	3851787,3851988,3852598,3853552,3853755	3851837,3852031,3853396,3853600,3853796
CBG00643.1	3846277,3847594,3847706,3847955	3847266,3847637,3847749,3848047
CBG00644.1	3836511,3841759,3842034,3842191,3842302,3842498,3842637	3841296,3841806,3842090,3842233,3842347,3842581,3842952
CBG00645.1	3829931,3831110,3831375,3831521,3832405,3832725	3830896,3831211,3831419,3832292,3832642,3833612
CBG00646a.1	3821347,3822122,3822838,3823787	3821992,3822565,3823718,3823831
CBG00646b.1	3821347,3822122,3822714	3821992,3822565,3822714
CBG00647.1	3817840,3817961,3818479	3817885,3818279,3818791
CBG00648.1	3813761,3814496,3814779	3814192,3814728,3814830
CBG00649.1	3805884,3806359,3806559,3806978,3807240,3807605,3807764,3807877,3808045,3808323,3808670,3809591,3810057,3810581	3806242,3806404,3806743,3807129,3807500,3807654,3807813,3807919,3808157,3808483,3809464,3809998,3810305,3811374
CBG00650.1	3803245,3803511,3803748	3803301,3803560,3803797
CBG00651.1	3801682,3801938	3801841,3802788
CBG00652.1	3799876,3800801,3800951	3800740,3800854,3801012
CBG00653.1	3792336,3792585,3792885,3793010,3793439,3793963,3794425,3794695,3796499,3796710,3796852,3797037,3797446,3797579,3797936,3798081,3798222	3792381,3792636,3792931,3793352,3793494,3794007,3794471,3796366,3796545,3796749,3796901,3797235,3797491,3797622,3797977,3798127,3798267
CBG00656.1	3787435	3787770
CBG00657.1	3785967,3787049,3787158	3786907,3787099,3787204
CBG00658.1	3783760	3783807
CBG00658.2	3783760,3784440	3783807,3784484
CBG00660.1	3776507,3776869,3777203,3777388,3777586,3778260,3778456	3776650,3777060,3777252,3777431,3778029,3778304,3778723
CBG00661.1	3772233,3773158,3773609	3772276,3773201,3773658
CBG00662.1	3769614,3769713,3769851,3769972,3770489,3770630	3769662,3769756,3769897,3770277,3770534,3770676
CBG00663.1	3765481,3766887,3767779	3766770,3767745,3768218
CBG00664.1	3763667,3764325	3763963,3764909
CBG00666.1	3751344,3751554,3752137,3752491,3752957	3751400,3751917,3752184,3752641,3755099
CBG00667.1	3746873,3747720,3748074,3748347,3750066	3747560,3747769,3748123,3749775,3750526
CBG00668.1	3742071,3742236,3742697,3742926,3743695,3743813,3744498,3744985,3745167	3742115,3742488,3742741,3743473,3743741,3743865,3744661,3745025,3745247
CBG00669a.1	3740036,3740766,3740965,3741140	3740093,3740807,3741015,3741187
CBG00669b.1	3740036,3740965,3741140	3740093,3741015,3741187
CBG00670.1	3738683,3738949,3739281	3738731,3738994,3739334
CBG00671.1	3737469,3737623,3737862	3737516,3737668,3737905
CBG00672.1	3734795,3735469,3735874,3736495,3736836,3737007	3734839,3735513,3736272,3736642,3736888,3737049
CBG00673.1	3732764,3732912,3733735,3733964	3732812,3732968,3733779,3734012
CBG00674.1	3730344,3730615,3731272,3731990	3730389,3730668,3731316,3732036
CBG00675.1	3727896,3728645,3728783,3728994,3729129,3729530,3729807	3728551,3728689,3728867,3729041,3729175,3729572,3729853
CBG00680.1	3703816,3707465,3708052,3708470,3708818,3709217	3707017,3707524,3708187,3708515,3709080,3709657
CBG00681.1	3700255,3701844,3702093,3702401	3701621,3701892,3702213,3702448
CBG00683a.1	3684631,3684761,3685400,3685652,3686828,3688329,3689855,3690366	3684680,3685285,3685470,3686420,3686879,3689432,3689904,3690720
CBG00683b.1	3684631,3684761,3685400,3685652,3686828,3688323,3689855,3690366	3684680,3685285,3685470,3686420,3686879,3689432,3689904,3690720
CBG00684.1	3678087	3678764
CBG00686a.1	3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686b.1	3646255,3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3653947,3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686c.1	3644063,3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3653947,3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686d.1	3639724,3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3653947,3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686e.1	3634201,3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3653947,3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686f.1	3627965,3629685,3632038,3654153,3654277,3654485,3655270,3655659,3656280,3656455,3656608,3656794,3657500	3629592,3631985,3653947,3654196,3654376,3655149,3655564,3656136,3656327,3656503,3656653,3657297,3657753
CBG00686g.1	3654153,3654277,3654485,3655270,3658704,3660938,3661119,3661875	3654196,3654376,3655149,3658497,3660468,3660990,3661737,3662323
CBG00692.1	3624786,3625140,3625843,3626462	3624832,3625209,3625889,3626509
CBG00693.1	3620406,3620521,3623338,3624082	3620455,3622995,3623388,3624131
CBG00694.1	3621267,3621589,3621756,3622665	3621311,3621636,3622129,3622718
CBG00700a.1	3589803,3591191,3591388,3592057,3592406,3592689,3592934	3590508,3591248,3591908,3592102,3592449,3592739,3593672
CBG00700b.1	3589803	3590615
CBG00701.1	3580684,3583829,3583952,3584085,3586323,3586478,3587421,3588121,3588258,3588412	3583692,3583880,3583997,3586053,3586368,3587175,3587873,3588168,3588299,3589065
CBG00703a.1	3573358,3573493	3573407,3573695
CBG00703b.1	3573358,3573493,3574121	3573407,3573695,3574122
CBG00704.1	3567504,3568358,3568618,3568871,3569178,3569682,3569911,3570088	3568163,3568485,3568660,3569033,3569575,3569754,3569959,3571024
CBG00705.1	3559301,3560782,3561329,3562664,3564506,3564706,3564884,3565063,3565973,3566292	3560670,3561037,3562174,3564311,3564579,3564752,3564928,3565795,3566098,3566664
CBG00708.1	3540019,3540400,3540872,3541549,3541742	3540343,3540451,3540934,3541596,3543078
CBG00709.1	3528914,3529195,3530323,3530577,3531605,3532236,3532525	3528962,3529256,3530369,3530622,3531652,3532283,3532571
CBG00710.1	3527307,3527494,3527698,3527819	3527352,3527541,3527741,3527871
CBG00712.1	3524203,3524491,3525287,3525517	3524417,3524538,3525332,3525562
CBG00713.1	3519621,3520055,3520486,3521050,3521455	3519784,3520329,3520906,3521102,3521659
CBG00714.1	3514512,3514720	3514574,3516550
CBG00716.1	3507818,3507997,3508754,3512190,3512574	3507902,3508332,3511806,3512277,3512903
CBG00717.1	3499603,3500051,3500644,3501072,3501207,3503541,3503910,3504401,3505075	3499883,3500480,3500955,3501136,3501525,3503614,3503911,3504905,3505121
CBG00719.1	3487442,3487756,3487866,3487995,3489003,3489220,3489370,3489617	3487634,3487798,3487922,3488850,3489052,3489265,3489501,3489665
CBG00720.1	3481319,3481488,3481839,3482317,3482533,3483774	3481367,3481532,3482199,3482415,3483644,3484457
CBG00721.1	3479057,3479526,3479877,3480582	3479101,3479570,3479924,3480626
CBG00722a.1	3476419,3477329,3477977,3478253,3478449	3476474,3477375,3478022,3478299,3478495
CBG00722b.1	3476432,3477329,3477977,3478253,3478449	3476474,3477375,3478022,3478299,3478495
CBG00723.1	3475652	3475693
CBG00724a.1	3465201,3466216,3466523,3467656,3467884,3468162,3468379	3465831,3466261,3467004,3467775,3467999,3468213,3468615
